trade_id,entry_time,entry_price,position,contracts,risk_budget,trade_pnl,max_adverse_pnl,max_favorable_pnl,exit_time,exit_price,exit_reason,balance_after_trade
716,2019-12-04 11:00:00,26088.0,1,5,29528.75,-5600.0,-5600.0,0.0,2019-12-04 11:03:00,26080.0,model_exit,5900150.0
717,2019-12-04 11:04:00,26092.0,1,5,29500.75,-5100.0,-5100.0,2700.0,2019-12-04 11:07:00,26073.0,model_exit,5895050.0
718,2019-12-04 11:08:00,26073.0,1,5,29475.25,-600.0,-600.0,0.0,2019-12-04 11:09:00,26073.0,model_exit,5894450.0
719,2019-12-04 11:10:00,26074.0,1,5,29472.25,-3350.0,-3350.0,0.0,2019-12-04 11:14:00,26078.0,model_exit,5891100.0
720,2019-12-04 11:15:00,26066.0,1,5,29455.5,-3600.0,-3600.0,0.0,2019-12-04 11:16:00,26070.0,model_exit,5887500.0
721,2019-12-04 11:17:00,26072.0,1,5,29437.5,2650.0,0.0,2950.0,2019-12-04 11:19:00,26078.0,model_exit,5890150.0
722,2019-12-04 11:23:00,26103.0,1,5,29450.75,-100.0,-100.0,200.0,2019-12-04 11:24:00,26111.0,model_exit,5890050.0
723,2019-12-04 11:25:00,26110.0,1,5,29450.25,-1100.0,-1100.0,0.0,2019-12-04 11:30:00,26113.0,model_exit,5888950.0
724,2019-12-04 11:31:00,26112.0,1,5,29444.75,-1100.0,-3300.0,0.0,2019-12-04 11:34:00,26106.0,model_exit,5887850.0
725,2019-12-04 11:35:00,26105.0,1,5,29439.25,150.0,-550.0,450.0,2019-12-04 11:38:00,26107.0,model_exit,5888000.0
726,2019-12-04 11:39:00,26111.0,1,5,29440.0,1900.0,-1800.0,2200.0,2019-12-04 11:47:00,26119.0,model_exit,5889900.0
727,2019-12-04 11:50:00,26115.0,-1,5,29449.5,1650.0,0.0,1950.0,2019-12-04 11:51:00,26107.0,model_exit,5891550.0
728,2019-12-04 11:53:00,26098.0,1,5,29457.75,-350.0,-3300.0,0.0,2019-12-04 13:01:00,26098.0,model_exit,5891200.0
729,2019-12-04 13:02:00,26095.0,1,5,29456.0,-1350.0,-1350.0,0.0,2019-12-04 13:03:00,26104.0,model_exit,5889850.0
730,2019-12-04 13:04:00,26092.0,1,5,29449.25,-3600.0,-3600.0,0.0,2019-12-04 13:05:00,26080.0,model_exit,5886250.0
731,2019-12-04 13:06:00,26089.0,1,5,29431.25,2400.0,0.0,4700.0,2019-12-04 13:11:00,26094.0,model_exit,5888650.0
732,2019-12-04 13:12:00,26094.0,1,5,29443.25,1150.0,-300.0,1450.0,2019-12-04 13:15:00,26107.0,model_exit,5889800.0
733,2019-12-04 13:16:00,26112.0,1,5,29449.0,2400.0,0.0,2700.0,2019-12-04 13:18:00,26122.0,model_exit,5892200.0
734,2019-12-04 13:19:00,26123.0,1,5,29461.0,-2100.0,-2100.0,0.0,2019-12-04 13:22:00,26116.0,model_exit,5890100.0
735,2019-12-04 13:23:00,26115.0,1,5,29450.5,5400.0,-1300.0,5700.0,2019-12-04 13:39:00,26139.0,model_exit,5895500.0
736,2019-12-04 13:40:00,26138.0,1,5,29477.5,-1850.0,-2050.0,450.0,2019-12-04 13:45:00,26139.0,model_exit,5893650.0
737,2019-12-04 13:46:00,26138.0,1,5,29468.25,-850.0,-850.0,0.0,2019-12-04 13:47:00,26131.0,model_exit,5892800.0
738,2019-12-04 13:48:00,26124.0,1,5,29464.0,-2350.0,-2350.0,0.0,2019-12-04 13:49:00,26129.0,model_exit,5890450.0
739,2019-12-04 13:52:00,26139.0,1,5,29452.25,900.0,-50.0,1200.0,2019-12-04 13:54:00,26148.0,model_exit,5891350.0
740,2019-12-04 13:56:00,26133.0,1,5,29456.75,-7600.0,-7600.0,0.0,2019-12-04 14:07:00,26113.0,model_exit,5883750.0
741,2019-12-04 14:08:00,26118.0,1,5,29418.75,650.0,0.0,950.0,2019-12-04 14:09:00,26121.0,model_exit,5884400.0
742,2019-12-04 14:10:00,26122.0,1,5,29422.0,3650.0,-1800.0,5450.0,2019-12-04 14:23:00,26137.0,model_exit,5888050.0
743,2019-12-04 14:24:00,26150.0,1,5,29440.25,1900.0,-50.0,2950.0,2019-12-04 14:31:00,26136.0,model_exit,5889950.0
744,2019-12-04 14:32:00,26138.0,1,5,29449.75,-1350.0,-1350.0,200.0,2019-12-04 14:34:00,26132.0,model_exit,5888600.0
745,2019-12-04 14:35:00,26136.0,1,5,29443.0,1650.0,0.0,1950.0,2019-12-04 14:40:00,26127.0,model_exit,5890250.0
746,2019-12-04 14:41:00,26129.0,1,5,29451.25,-2350.0,-3300.0,1450.0,2019-12-04 14:56:00,26123.0,model_exit,5887900.0
